Question,Answer,Category
Nombra los novios/as de todos los participantes del secret santa cuando empezaron la uni,No me acuerdo jeje,Historia
En qué grupo de la uni estaba cada participante del juego en primero?,Depende de los jugadores,Historia
Quién es el jugador que ha corrido más distancia en una sola actividad?,Depende de los jugadores,Historia
Cómo se llama el padre de Inés?, Moisés, Historia
Quién de los presentes vive en la casa con más metros cuadrados?, Depende de los jugadores, Historia
Cuantos hermanos/as tiene Bro?, Dos, Historia
Cuantos hermanos/as tiene Joaquín?, Espero que cinco, Historia
Cómo se llaman los hermanos de PGoPe y Paula?, Alberto y Sofía, Historia
Quién es la persona presente o del secret santa que se llevó más asigaturas a septiembre?, Toni creo, Historia
Qué película vimos en el cine el día en que supimos quienes nos íbamos de erasmus (y a donde)?, El renacido, Historia
Especifica la opinión de cada jugador con respecto a las aceitunas, Depende, Historia
A qué instituto o colegio iba Paula antes de entrar en la universidad?, St Michaels, Historia
Deletrea el segundo apellido de Joaquín, Zeljkovic, Historia
Quiénes son las primas lejanas famosas de alguien del secret santa?, Las Pombo creo (de Bro), Historia
Quién lleva más tiempo con su pareja actual?, Depende, Historia
Narra tres momentos clásicos en los que Gonzalo ha vomitado, Esquí + coche Joaquín + metro (u otros), Historia
Qué criatura asusta a Ceci?, El gruffalo, Historia
Con quién hizo Gonzalo un disfraz conjunto en carnaval de Colmenar Viejo?, Carmen, Historia
Nombra todas las ciudades en las que hemos estudiado (grado + master) todos los del secret santa, No me acuerdo sorry, Historia
Porqué llamamos Bro a Bro?, No tengo tiempo ahora mismo sorry, Historia
Elige quién va a hacer la mímica y esconde la respuesta, Ir al chorrito, Simulación
Elige quién va a hacer la mímica y esconde la respuesta, Toni copiando en un examen, Simulación
Elige quién va a hacer la mímica y esconde la respuesta, PGoPe tomando café durante al risk, Simulación
Elige quién va a hacer la mímica y esconde la respuesta, Paula jugando al Ultimate Frisbee, Simulación
Elige quién va a hacer la mímica y esconde la respuesta, Joaquín tirando piedritas en la ventana de Lydia, Simulación
Elige quién va a hacer la mímica y esconde la respuesta, Inés haciendo cerámica, Simulación
